Pay with DDBill B2C,Pay with DDBill B2C
RSA,RSA
RSA-S,RSA-S
MD5,MD5
Bank Code,Bank Code
 - None - , - None - 
Agricultural Bank of China,Agricultural Bank of China
Bank of Beijing,Bank of Beijing
Bank of China,Bank of China
Bank of Communication,Bank of Communication
Bank of HangZhou,Bank of HangZhou
Bank of Ningbo,Bank of Ningbo
Bank of Shanghai,Bank of Shanghai
China Citic Bank,China Citic Bank
China Construction Bank,China Construction Bank
China Ever Bright Bank,China Ever Bright Bank
China Guangfa Bank,China Guangfa Bank
China Industrial Bank,China Industrial Bank
China Merchants Bank,China Merchants Bank
China Minsheng Bank,China Minsheng Bank
Hua Xia Bank,Hua Xia Bank
Industrial and Commercial Bank of China,Industrial and Commercial Bank of China
Postal Saving Bank of China,Postal Saving Bank of China
Shanghai Pudong Development Bank,Shanghai Pudong Development Bank
Shenzhen Ping An Bank,Shenzhen Ping An Bank
